Scam_Platform,Syndicate_group,Address_L0,CrytoType,Balance,symbol,currency_address,address,Receive,Receive_USD,First_Receive_Date,Spend,Spend_USD,Last_Spend_Date,Balance_USD,urlscan_records,IP,IP_owner,ASN
https://app.h2guo.com,Cloudfront,3LZziZtvCS5huwtfokvzyjfTDTz7WrZSe9,BTC,5.40E-06,BTC,,3LZziZtvCS5huwtfokvzyjfTDTz7WrZSe9,13.86060619,318043.0491,12/11/2020,13.86060079,320415.2339,2/9/2021,-2372.184713,https://urlscan.io/api/v1/result/f6894447-4911-43ab-8f52-166db29cc195/,23.225.94.42,CloudRadium LLC,40065�
https://app.h2guo.com,Cloudfront,3CkYneVyHUTCiynmzAtxMRVcRKhtkDLN5F,BTC,0,BTC,,3CkYneVyHUTCiynmzAtxMRVcRKhtkDLN5F,48.07278416,1634446.217,8/8/2020,48.07278416,1633889.356,10/4/2021,556.8616945,https://urlscan.io/api/v1/result/f6894447-4911-43ab-8f52-166db29cc195/,23.225.94.42,CloudRadium LLC,40065�
www.hugedomains.com,,352vNmiA3Nz4g7iqQNXvUgwEa5DkBcmNGa,BTC,-1.00E+00,BTC,,,,,,,,,,,,,
https://app.h2guo.com,Cloudfront,352vNmiA3Nz4g7iqQNXvUgwEa5DkBcmNGa,BTC,1.09E-05,BTC,,352vNmiA3Nz4g7iqQNXvUgwEa5DkBcmNGa,54.19566142,2615010.263,1/12/2021,54.19565048,2613228.186,4/25/2021,1782.076963,,,,
https://asdhe.resuasf.vip/app.php/MjUw,Cloudfront,0x0b1F5F5f327F6d9D617a1e1631576202D36BE9c1,ETH-USDT,,ETH,-,0x0b1f5f5f327f6d9d617a1e1631576202d36be9c1,1490.957314,2537376.015,1/27/2021 23:37,1490.957314,2537376.015,4/11/2021 16:11,,,,,
https://asdhe.resuasf.vip/app.php/MjUw,Cloudfront,0x0b1F5F5f327F6d9D617a1e1631576202D36BE9c1,ETH-USDT,,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,0x0b1f5f5f327f6d9d617a1e1631576202d36be9c1,639466.7963,639886.5252,1/27/2021 23:37,639466.7963,639886.5252,4/11/2021 16:11,,,,,
https://asdhe.resuasf.vip/app.php/MjUw,Cloudfront,0x2EfcB2259F1F42F1865805D6990A87175fb5bAc1,ETH-USDT,,ETH,-,0x2efcb2259f1f42f1865805d6990a87175fb5bac1,813.5173238,2086979.258,4/2/2021 13:16,813.5173238,2086979.258,6/9/2021 7:17,,,,,
https://asdhe.resuasf.vip/app.php/MjUw,Cloudfront,0x2EfcB2259F1F42F1865805D6990A87175fb5bAc1,ETH-USDT,,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,0x2efcb2259f1f42f1865805d6990a87175fb5bac1,1244964.509,1246646.126,4/2/2021 13:16,1244964.509,1246646.126,6/9/2021 7:17,,,,,
https://www.sixtrade.xyz,FunNull,3M5oC42iMt5A4dFWJaPwbMqELTvadP7Web,BTC,5.47E-06,BTC,,3M5oC42iMt5A4dFWJaPwbMqELTvadP7Web,27.78139831,1245696.954,4/29/2021,27.78139284,1250451.422,5/28/2021,-4754.4675,Savage Communications Inc,,,
https://www.sixtrade.xyz,FunNull,0x310a94F23BCC8B96dF22FD6cDB007201Ace388E2,ETH-USDT,,ETH,-,0x310a94f23bcc8b96df22fd6cdb007201ace388e2,423.8304053,1257522.458,4/25/2021 1:43,423.8304053,1257522.458,6/26/2021 11:17,,https://networksdb.io/ip/192.80.177.26,,,
