address,Receive,Receive_USD,First_Receive_Date,Spend,Spend_USD,Last_Spend_Date,Balance,Balance_USD
35NKYVqmyAHLRD95uk9AT1gANxNxYU39fv,140.2370513,3762394.716,9/12/2020,140.2368244,3813408.464,1/18/2021,0.00022688,-51013.74779
35nUpA2EtaVfj6GeF2KEn9XxdB8eHsstP2,0.61783549,26467.70369,9/25/2021,0.61783549,26248.8105,10/13/2021,0,218.8931838
35rsBdAiBbFdYxah3KCRLDnUjjtcpjWrnT,1.93462777,69095.34932,6/13/2021,1.93462777,68943.3261,7/13/2021,0,152.0232202
378GwGyRyyVA4cq35FTSPU1hHQLfMmtPpZ,112.652194,4080004.432,6/28/2021,112.652194,4083079.361,8/24/2021,0,-3074.929398
37xx8ShiRYQqKxUQxU2i5N8pu3Bt3vfifx,7.15237331,394191.5983,3/28/2021,7.15237331,394024.9386,5/25/2021,0,166.6596669
38pFXtBYEJBRzHZN2TquZC9tDSFYvPcpqi,6.08131882,212870.9832,12/31/2020,6.08131882,240972.8608,3/20/2021,0,-28101.87761
38qiCTLxTFBTZ8WGeHkhwuqbxep9RE817i,3.65923789,128921.0202,6/10/2021,3.65923789,123225.7335,7/19/2021,0,5695.286738
394D5vqnjVNhVfrmhGjPYP3hPBY5SgfdjJ,0.23293664,8519.731061,5/28/2021,0.23293664,7514.674377,10/10/2021,0,1005.056685
39Vj7f87m3maS7iNNssKWwU1XkPdaHP7Ug,33.57445439,1467305.08,4/25/2021,33.57444892,1466581.702,5/29/2021,5.47E-06,723.3783795
39xqyoxspy3c9H5HrRtHxUS73QmYR2EnaR,11.62480992,447679.7171,4/20/2021,11.62480992,443609.8752,7/31/2021,0,4069.841925
39y6X3RG22ZiXw7GiJD5pwAZwPVqrNy4ep,0.86326388,52061.70676,3/24/2021,0.86326388,52064.65018,4/19/2021,0,-2.943426812
3AEt9LPeXTpTe1YqrXJReydivzuH4jr7gp,9.35171754,332014.183,6/17/2021,9.35171754,331910.8646,7/13/2021,0,103.3183963
3B7SRtV3Lykcx6RYY2z1rPF6utSrxaXVmt,12.00988687,521883.7548,9/28/2021,12.00988687,521808.8454,10/3/2021,0,74.90935895
3BHLEzD3ftqG7aZYxKout3rALidaqMkb3B,25.88800163,905204.7744,6/5/2021,25.88800163,891086.04,7/21/2021,0,14118.73441
3BuQ9we7QxGpkNe1pPfAUkdGjQppyWDaVw,3.68749947,185585.1906,1/26/2021,3.68749401,196642.0328,5/5/2021,5.46E-06,-11056.84222
3Byq9XzFqCkcjmqvN13iXdQVTdBkZzep3A,7.26496475,361163.9281,4/6/2021,7.26495928,362315.5845,5/28/2021,5.47E-06,-1151.656358
3CWSC2xqdvETbmgCVKa1p56P2bYVsMJiGh,57.86784359,2231867.032,4/20/2021,57.86784359,2223911.996,8/21/2021,0,7955.036256
3CkYneVyHUTCiynmzAtxMRVcRKhtkDLN5F,48.07278416,1634446.217,8/8/2020,48.07278416,1633889.356,10/4/2021,0,556.8616945
3CpCAYmaLkG7p4JfDNdnAwQN9ZarrT65cM,1.26670166,67264.00249,4/1/2021,1.26670166,68303.20888,12/2/2021,0,-1039.206394
