Scam_Platform,Syndicate_group,Address_L0,CrytoType,domain,parent_domain
https://www.ceuuja.vip/ExMarkets,Cloudfront,0x0b1F5F5f327F6d9D617a1e1631576202D36BE9c1,ETH-USDT,ceuuja.vip,ceuuja.vip
https://www.ceuuja.vip/ExMarkets,Cloudfront,3FEvSkQJn5Wq15WJSoQvUJ4xQeQ8GFLcGH,BTC,ceuuja.vip,ceuuja.vip
https://www.ceuuja.vip/ExMarkets,Cloudfront,0x2EfcB2259F1F42F1865805D6990A87175fb5bAc1,ETH-USDT,ceuuja.vip,ceuuja.vip
https://www.yeekex.com,Polkaswaps,0x45ac0e3be7afd4fac57aac834c4f26fce1484010,ETH-USDT,yeekex.com,yeekex.com
https://down.ghjdfbh.com:3268/hXIO.app,ddos2naive,0xe62fbf495a4a046b576b2271b8a56ded4be74e74,ETH-USDT,down.ghjdfbh.com,ghjdfbh.com
https://www.lunotrad.com,FunNull,0x1443cc0017a7454e6ccdad674d3b8716cb2fe6e5,ETH-USDT,lunotrad.com,lunotrad.com
https://www.anxtrad.com,FunNull,3M5oC42iMt5A4dFWJaPwbMqELTvadP7Web,BTC,anxtrad.com,anxtrad.com
https://www.anxtrad.com,FunNull,33qPvdDuwWcaXU6xB8ZpEg5cvgzXyJJkkZ,BTC,anxtrad.com,anxtrad.com
https://www.auhc123.live,Cloudfront,39y6X3RG22ZiXw7GiJD5pwAZwPVqrNy4ep,BTC,auhc123.live,auhc123.live
https://www.auhc123.live,Cloudfront,39xqyoxspy3c9H5HrRtHxUS73QmYR2EnaR,BTC,auhc123.live,auhc123.live
https://newbitba.xyz,Cloudfront,35rsBdAiBbFdYxah3KCRLDnUjjtcpjWrnT,BTC,newbitba.xyz,newbitba.xyz
https://newbitba.xyz,Cloudfront,0x144bf53C87776381dC9070dc13BbeD0E8A661994,ETH-USDT,newbitba.xyz,newbitba.xyz
https://www.6618sta.club,Cloudfront,3LtiyRdgZP91zeS39kzSohLTKSboYAbUaA,BTC,6618sta.club,6618sta.club
https://www.6618sta.club,Cloudfront,0xAfb03c522beC2e4dC49CCE05aa89bAFDb1561F29,ETH-USDT,6618sta.club,6618sta.club
https://www.6618sta.club,Cloudfront,0x6B60CBf2A9063056d65f583bd0ACC762905171bf,ETH-USDT,6618sta.club,6618sta.club
https://www.6618sta.club,Cloudfront,0x0b1F5F5f327F6d9D617a1e1631576202D36BE9c1,ETH-USDT,6618sta.club,6618sta.club
https://www.6618sta.club,Cloudfront,0x2EfcB2259F1F42F1865805D6990A87175fb5bAc1,ETH-USDT,6618sta.club,6618sta.club
https://difcglobal.com/download/downlaod.html,Cloudfront,0xc550A01Bf2Da48b2cDe1B8F028E9F331214592a8,ETH-USDT,difcglobal.com,difcglobal.com
https://www.asuna973c.live/#/,Cloudfront,0x18e0FaA85f8345714E3B348d5BA414fcfA033725,ETH-USDT,asuna973c.live,asuna973c.live
https://www.asuna973c.live/#/,Cloudfront,3J4pLTcFEQHnHgwFNG815wuxYnUDDG9SZQ,BTC,asuna973c.live,asuna973c.live
https://www.asuna973c.live/#/,Cloudfront,0x4C8714bF2DeE440c1Ae2BF35206C5f1b714cE71c,ETH-USDT,asuna973c.live,asuna973c.live
https://hyhy.pj2nnas.xyz/app.php/MjI2,Cloudfront,0x4C8714bF2DeE440c1Ae2BF35206C5f1b714cE71c,ETH-USDT,hyhy.pj2nnas.xyz,pj2nnas.xyz
https://hyhy.pj2nnas.xyz/app.php/MjI3,Cloudfront,0x18e0FaA85f8345714E3B348d5BA414fcfA033725,ETH-USDT,hyhy.pj2nnas.xyz,pj2nnas.xyz
https://www.morecoin.live,Cloudfront,3CWSC2xqdvETbmgCVKa1p56P2bYVsMJiGh,BTC,morecoin.live,morecoin.live
https://www.morecoin.live,Cloudfront,18iVVPShUjSvf2G1pz8GxbU2DjeTELZheJ,BTC,morecoin.live,morecoin.live
https://xaq9.yausdznca89.club/app.php/MTU3,Cloudfront,3GTQAiQE4S7ZS79U3jiDTdxwVonv3p8KDH,BTC,xaq9.yausdznca89.club,yausdznca89.club
https://xaq9.yausdznca89.club/app.php/MTU3,Cloudfront,33iZ9AQk5Mgbcp8QKZ3ifv3RKa2FGEpxSZ,BTC,xaq9.yausdznca89.club,yausdznca89.club
https://xaq9.yausdznca89.club/app.php/MTU3,Cloudfront,3J4pLTcFEQHnHgwFNG815wuxYnUDDG9SZQ,BTC,xaq9.yausdznca89.club,yausdznca89.club
https://xaq9.yausdznca89.club/app.php/MTU3,Cloudfront,0x18e0FaA85f8345714E3B348d5BA414fcfA033725,ETH-USDT,xaq9.yausdznca89.club,yausdznca89.club
https://www.bfex.pro,Cloudfront,0x4803E2728861787b682bE1Fb52378D61D90F2DF2,ETH-USDT,bfex.pro,bfex.pro
https://www.bfex.pro,Cloudfront,0x3fC7a1d346555b8353Fdb51E4d8CE52b82B1DeeC,ETH-USDT,bfex.pro,bfex.pro
https://cde.psdn123.xyz/app.php/Mjg3,MT5,0x9Ee1f024cFeD045D05e182c9DF4FA9D641234b8e,ETH-USDT,cde.psdn123.xyz,psdn123.xyz
https://cde.psdn123.xyz/app.php/Mjg3,MT5,0x8b461E38819F020e26FE3A67e074276e393b1693,ETH-USDT,cde.psdn123.xyz,psdn123.xyz
https://cde.psdn123.xyz/app.php/Mjg3,MT5,0xfc34018ec2720eff5602673f9558da78f56507e1,ETH-USDT,cde.psdn123.xyz,psdn123.xyz
https://www.avadtrade.buzz,FunNull,33qPvdDuwWcaXU6xB8ZpEg5cvgzXyJJkkZ,BTC,avadtrade.buzz,avadtrade.buzz
https://www.avadtrade.buzz,FunNull,0x310a94F23BCC8B96dF22FD6cDB007201Ace388E2,ETH-USDT,avadtrade.buzz,avadtrade.buzz
https://www.avadtrade.buzz,FunNull,0xd9215CB5b3aC2ac3A1F4E25B0eC0290AD0C393bc,ETH-USDT,avadtrade.buzz,avadtrade.buzz
https://www.avadtrade.buzz,FunNull,0x1443cC0017a7454e6cCdAd674d3B8716CB2FE6E5,ETH-USDT,avadtrade.buzz,avadtrade.buzz
https://www.avadtrade.buzz,FunNull,0x8f779ac801fc2d8512cf834404377e10bbecf5df,ETH-USDT,avadtrade.buzz,avadtrade.buzz
https://7p0pdr.btex11.com/,Cloudfront,0x465Eea759643116c69174F46F5c181E7A4b3Cf9A,ETH-USDT,7p0pdr.btex11.com,btex11.com
https://d.z2.wtf/6k1,FunNull,0x1443cC0017a7454e6cCdAd674d3B8716CB2FE6E5,ETH-USDT,d.z2.wtf,z2.wtf
https://d.z2.wtf/6k1,FunNull,0x2867341Ea3C216D752950065D578908Ef99De7A2,ETH-USDT,d.z2.wtf,z2.wtf
https://d.z2.wtf/6k1,FunNull,0x44a4013A4d999BfeD8AB3E2EB06909574f4EDd78,ETH-USDT,d.z2.wtf,z2.wtf
https://d.z2.wtf/6k1,FunNull,3MVHM4MZyMqSniJuV2nKQvh4syCtKUqsHc,BTC,d.z2.wtf,z2.wtf
https://d.z2.wtf/6k1,FunNull,3DpagDScbGW7YJimrezbh9mzQVp77r7pqK,BTC,d.z2.wtf,z2.wtf
