address,sum_in,sum_in_usd,sum_out,sum_out_usd,balance,count_in,count_out,currency_address,symbol,tokenType,annotation,first_transaction_time,last_transaction_time,receive_from_currencies,send_to_currencies
0xc61e25a2406214f9df6c0693ec8330235d6115ef,6656.359615,6659.88589,6656.359615,6659.88589,0,2,2,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,ERC20,,2/27/2021 12:09,3/20/2021 12:14,2,2
0x99d24f1273ef98423c904c390ab32faf03083d8b,370.0982916,745270.3136,370.0982916,745270.3136,0,102,20,-,ETH,,,3/4/2021 19:05,4/18/2021 19:21,2,2
0x99d24f1273ef98423c904c390ab32faf03083d8b,678540.8967,679566.5485,678540.8967,679566.5485,0,12,12,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,ERC20,,3/4/2021 19:05,4/18/2021 19:21,2,2
0xa8d8eadb85d875b0bd378dd8c74747c76ff2419d,9.525029,17285.41141,9.525029,17285.41141,0,2,1,-,ETH,,,2/25/2021 18:30,3/11/2021 14:59,2,2
0xa8d8eadb85d875b0bd378dd8c74747c76ff2419d,100500.0,100588.8956,100500.0,100588.8956,0,2,1,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,ERC20,,2/25/2021 18:30,3/11/2021 14:59,2,2
0x395ae7c07d7f2f4c102ee84af078c56b286e69a7,494011.5388,494501.6483,494011.5388,494501.6483,0,65,19,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,ERC20,,2/11/2021 9:41,4/3/2021 7:46,2,2
0x395ae7c07d7f2f4c102ee84af078c56b286e69a7,78.81121309,129643.1031,78.81121309,129643.1031,0,22,14,-,ETH,,,2/11/2021 9:41,4/3/2021 7:46,2,2
0xb2a9b5f06ac90fc47030dedac1888521dab90479,1258.1694,2055100.915,1258.1694,2055100.915,0,450,381,-,ETH,,,7/10/2020 15:33,4/8/2022 15:25,4,4
0xb2a9b5f06ac90fc47030dedac1888521dab90479,3136516.858,3138528.847,3136516.858,3138528.847,0,277,247,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,ERC20,,7/10/2020 15:33,4/8/2022 15:25,4,4
0xb2a9b5f06ac90fc47030dedac1888521dab90479,44.73589185,0.0,44.73589185,0.0,0,71,55,0x3212b29e33587a00fb1c83346f5dbfa69a458923,imBTC,ERC20,,7/10/2020 15:33,4/8/2022 15:25,4,4
0xb2a9b5f06ac90fc47030dedac1888521dab90479,209.743907,665.270813,209.743907,665.270813,0,5,4,0x0000000000095413afc295d19edeb1ad7b71c952,LON,ERC20,,7/10/2020 15:33,4/8/2022 15:25,4,4
0x68be4905babe21e3d27e775bc4e3f60d631c8e01,128.957596,219705.1502,128.957596,219705.1502,0,28,12,-,ETH,,,2/1/2021 8:20,3/23/2021 15:25,2,2
0x68be4905babe21e3d27e775bc4e3f60d631c8e01,197859.4454,197861.1588,197859.4454,197861.1588,0,5,6,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,ERC20,,2/1/2021 8:20,3/23/2021 15:25,2,2
0x6da760fde4e7d53d72d36ad673d89fcd9520476b,754190.5075,754728.7461,754190.5075,754728.7461,0,71,58,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,ERC20,,12/23/2020 14:17,3/20/2021 14:47,2,2
0x6da760fde4e7d53d72d36ad673d89fcd9520476b,152.7581299,220669.3375,152.7581299,220669.3375,0,24,23,-,ETH,,,12/23/2020 14:17,3/20/2021 14:47,2,2
