domain,parent_domain
losslessmint.org,losslessmint.org
asbafx.com,asbafx.com
yeekex.cc,yeekex.cc
dmttrust.com,dmttrust.com
udsv.xyz,udsv.xyz
morgan.qxanys.com,qxanys.com
zipmexs-otc.com,zipmexs-otc.com
m.coinmog.net,coinmog.net
cd29.xyz,cd29.xyz
eightaccesscrypto.com,eightaccesscrypto.com
"advantageousearnings.com
IQBROKERSFX.COM
autopremiumoptions.com
Fortunefx.com","com
Fortunefx.com"
kirunaonline.com,kirunaonline.com
nytelockdigitalwe.top,nytelockdigitalwe.top
myrafflesmall.com,myrafflesmall.com
defiearn-vip.com,defiearn-vip.com
oxt-eth.com,oxt-eth.com
enterprisebank.com,enterprisebank.com
Smartmine.info,Smartmine.info
huntingglobal.com,huntingglobal.com
aaxpro.vip,aaxpro.vip
smartmine.info,smartmine.info
monishopping.com,monishopping.com
web.fxusfx.com,fxusfx.com
yuwsiawojxakqxnsj.net,yuwsiawojxakqxnsj.net
tifuforex.com,tifuforex.com
fuhui88.xyz,fuhui88.xyz
i08.me,i08.me
hkg8.net,hkg8.net
Bityardeu.com,Bityardeu.com
metaex.bet,metaex.bet
webitbvhyf.com,webitbvhyf.com
bilaxy.tv,bilaxy.tv
antsex.com,antsex.com
coinegglu.com,coinegglu.com
vPXr.duanurl.xyz,duanurl.xyz
Blockchain.com,Blockchain.com
utiphot.com,utiphot.com
datospc.com,datospc.com
hifly73892.top ,hifly73892.top 
btcexet.com,btcexet.com
coinsmartex.com,coinsmartex.com
mining-unicoin.com,mining-unicoin.com
Indusgold.ltd,Indusgold.ltd
toptankep.com,toptankep.com
mikean.com,mikean.com
ikecg.com,ikecg.com
bxmex.top,bxmex.top
defi-ctcs.com,defi-ctcs.com
globallw.com,globallw.com
defi-eth.co,defi-eth.co
watercfx.net,watercfx.net
b483.live40000.com,live40000.com
actuaryf.com,actuaryf.com
ioaxes.com,ioaxes.com
ceggcc.vip,ceggcc.vip
tradedwellterm.com,tradedwellterm.com
monerogo.com,monerogo.com
x.cmc.bet,cmc.bet
universalfxtradingservices.com,universalfxtradingservices.com
bkexdao.com,bkexdao.com
ios.lic,ios.lic
wunidklarsjdls.org,wunidklarsjdls.org
trustedfxoptoins.com,trustedfxoptoins.com
wardirectory.com,wardirectory.com
h5.federalfinancial35697.info,federalfinancial35697.info
"sjfuturefx.com
 https","sjfuturefx.com
 https"
daclandfx.com,daclandfx.com
liquityp.xyz,liquityp.xyz
digitalq.vip,digitalq.vip
btx26.xyz,btx26.xyz
h5.hrtrafc.com,hrtrafc.com
tidebitpros.vip,tidebitpros.vip
sushidexfi.com,sushidexfi.com
crown-fx.com,crown-fx.com
coin-app.top,coin-app.top
amindavefx.com,amindavefx.com
t-professional.tw,t-professional.tw
bsv-global.com,bsv-global.com
cen-tiger.com,cen-tiger.com
congratulationsex.com,congratulationsex.com
Centerassets.com,Centerassets.com
k27v.xyz,k27v.xyz
defi-usdt.net,defi-usdt.net
hotaex.net,hotaex.net
douglas-forex.com,douglas-forex.com
defi.usd-defi.org,usd-defi.org
webitbvhylk.com,webitbvhylk.com
xigouleshop.com,xigouleshop.com
Altman-Inc.com,Altman-Inc.com
skyamltd.com,skyamltd.com
bicc66.com,bicc66.com
mathns.com,mathns.com
pitbears.vip,pitbears.vip
metechains.co,metechains.co
mokfxm.com,mokfxm.com
m.watercfx.net,watercfx.net
daclandindex.com,daclandindex.com
defiearn-vip.co,defiearn-vip.co
ifsmarkets.is,ifsmarkets.is
bridgetrustfx.com,bridgetrustfx.com
antrush.com,antrush.com
upsalefx.com,upsalefx.com
h5.7ylk1006.top,7ylk1006.top
avatjte.com,avatjte.com
cbccyap.vip,cbccyap.vip
coindeskex.com,coindeskex.com
"bilaxyex.co
 https","bilaxyex.co
 https"
yllfx.co,yllfx.co
qzblm.com,qzblm.com
eth-defi131.com,eth-defi131.com
ammuni.shop,ammuni.shop
seus-fx.com,seus-fx.com
jet-fx.com,jet-fx.com
ascedexo.com,ascedexo.com
coinrise.ca,coinrise.ca
lsetoken.com,lsetoken.com
neptuneexchange.com,neptuneexchange.com
fxace.com,fxace.com
aava-defi.xyz,aava-defi.xyz
bteaa.com,bteaa.com
nang5.com,nang5.com
gventurep.vip,gventurep.vip
Moneroall.com,Moneroall.com
iprimecapital.com,iprimecapital.com
fastdeliveryshipmentservice.com,fastdeliveryshipmentservice.com
xrp-miningservice.online,xrp-miningservice.online
h5.bqsfbk.com,bqsfbk.com
apten.live,apten.live
coinestegg.com,coinestegg.com
scoinco.com,scoinco.com
ethcodefe.com,ethcodefe.com
defi-ethgo.org,defi-ethgo.org
bitsmexcim.net,bitsmexcim.net
Lbank-t.net,Lbank-t.net
bnbview.com,bnbview.com
cbotboxs.com,cbotboxs.com
h5.dwofk987.top,dwofk987.top
mytheresa.com,mytheresa.com
chevrontexacoae.com,chevrontexacoae.com
h5.bi-fans.com,bi-fans.com
f2pfit.com,f2pfit.com
eth-ctc.com,eth-ctc.com
psusy.com,psusy.com
aava-migning.xyz,aava-migning.xyz
tidexp.vip,tidexp.vip
h5.pq50z451.top,pq50z451.top
zbgrlm.com,zbgrlm.com
zbgopt.com,zbgopt.com
coinuuex.com,coinuuex.com
coiniststar.com,coiniststar.com
surlarss.xyz,surlarss.xyz
letraders.com,letraders.com
Pool-usdt.com,Pool-usdt.com
Ehte-usdt.com ,Ehte-usdt.com 
newtonexs.com,newtonexs.com
coincomvip.site ,coincomvip.site 
bitcomex.site,bitcomex.site
xytin.com,xytin.com
coinyee.site,coinyee.site
h5.hsnhc321.top,hsnhc321.top
xt-exchange.com,xt-exchange.com
webtrader.trustpixs.com,trustpixs.com
btcclub.shop,btcclub.shop
veritastradingpro.com,veritastradingpro.com
ccascaf.live,ccascaf.live
ethsuperdefi.com,ethsuperdefi.com
caisay.com,caisay.com
FGCT.godaddy.com,godaddy.com
an-tb.com,an-tb.com
webtrader.tedex.cc,tedex.cc
utrc20.com,utrc20.com
bitwellv.vip,bitwellv.vip
keovietbon.com,keovietbon.com
Eth-prik.net,Eth-prik.net
Tether-defi.net,Tether-defi.net
d.deutschemghp.buzz,deutschemghp.buzz
h5.boursoramazl.cc,boursoramazl.cc
coinbase-otc.buzz,coinbase-otc.buzz
bit-c.co,bit-c.co
defi-ai.pro,defi-ai.pro
account.surigae-fx.com,surigae-fx.com
H5.uniswape.ai,uniswape.ai
USA.vacaii.com,vacaii.com
cbdefi.vip,cbdefi.vip
bnbrr.com,bnbrr.com
client.jkefx.com,jkefx.com
Ethpools.me,Ethpools.me
0xb5d85cbf7cb3ee0d56b3bb207d5fc4b82f43f511.t-bit.org,t-bit.org
fexjim.com,fexjim.com
bitgetf.com,bitgetf.com
deif.etc-defi918.xyz,etc-defi918.xyz
m.globallxxx.com,globallxxx.com
sastook.com,sastook.com
ntucapital.com,ntucapital.com
invest-luxurypropertyshares.com,invest-luxurypropertyshares.com
tradecryptonetoption.com,tradecryptonetoption.com
meta-miner.top,meta-miner.top
user.ruiwinfx.com,ruiwinfx.com
fglobalfx.com,fglobalfx.com
dolo.getexbux.com,getexbux.com
starekco.com,starekco.com
ethpools.me,ethpools.me
directedgedep.com,directedgedep.com
Hcoinweb.com.,com.
web.Tokenswap.net,Tokenswap.net
inktech.live,inktech.live
fclcoin.com,fclcoin.com
defi.etcdefi81.xyz,etcdefi81.xyz
biggloballtd.com,biggloballtd.com
ethusdt.co,ethusdt.co
gsexm.com,gsexm.com
dogwoldcoltd.com,dogwoldcoltd.com
tetherminning.com,tetherminning.com
eth-cbusdt.io,eth-cbusdt.io
fycurrss.com,fycurrss.com
defi-base.com,defi-base.com
Monerodaos.com,Monerodaos.com
vertforex.com,vertforex.com
mathos.vip,mathos.vip
rudolfstarkage.com,rudolfstarkage.com
dydx-s.com,dydx-s.com
capitalonetom.com,capitalonetom.com
biki11.com,biki11.com
weexart.com,weexart.com
cwg-ltd.com,cwg-ltd.com
maxt.vip,maxt.vip
berat-fx.com,berat-fx.com
latoken-glo.com,latoken-glo.com
movex.link,movex.link
eth-fun.com,eth-fun.com
copperlanch.com ,copperlanch.com 
bbankpower.com,bbankpower.com
arttoken168.cc,arttoken168.cc
fufa1389.com,fufa1389.com
ethcoinsbase.com,ethcoinsbase.com
kineproap.vip,kineproap.vip
Nftleadc.com,Nftleadc.com
shenghuigroupax.com,shenghuigroupax.com
bat-eth.com,bat-eth.com
dapp-eth.pw,dapp-eth.pw
ninelordcoin.com,ninelordcoin.com
imcoinbase.xyz,imcoinbase.xyz
iiiusdt.com,iiiusdt.com
starlinkspro.com,starlinkspro.com
gurionfx.com,gurionfx.com
oneex.pro,oneex.pro
Truexcoin.com,Truexcoin.com
cbigoneex.com,cbigoneex.com
eth-cpus20.net,eth-cpus20.net
hkcoex.com,hkcoex.com
lucky82.com,lucky82.com
daccefx.com,daccefx.com
trx-mining.com,trx-mining.com
xxefinance.com,xxefinance.com
uniswapv3-defi.com,uniswapv3-defi.com
batgold.uk,batgold.uk
coboka.com,coboka.com
absystem.pro,absystem.pro
metatrader3-ex.com,metatrader3-ex.com
dmcc-eth.com,dmcc-eth.com
fsdsglobal.ltd,fsdsglobal.ltd
m.dcgcoins.net,dcgcoins.net
ascendex.com,ascendex.com
auxuglobal.com,auxuglobal.com
bitmain.capital,bitmain.capital
eth-eventwil.com,eth-eventwil.com
investingNX.com,investingNX.com
cexcoin.net,cexcoin.net
ftsfx.net,ftsfx.net
lmigroupltd.com,lmigroupltd.com
locusmarkets.com,locusmarkets.com
BQBEX.top,BQBEX.top
cointvb.com,cointvb.com
simexyum.com,simexyum.com
ftx-jys.cn,ftx-jys.cn
boursobrgd.cc,boursobrgd.cc
merrilledgefinance.com,merrilledgefinance.com
86z.com,86z.com
86fb.com,86fb.com
86w.com,86w.com
eto.cash,eto.cash
mintusdt.net,mintusdt.net
m.seagull-crypto.com,seagull-crypto.com
exsitecoinhck.com,exsitecoinhck.com
interstellaret.com,interstellaret.com
zlfcr.xyz,zlfcr.xyz
ethstake.exchange,ethstake.exchange
hkex.fun,hkex.fun
ifsmarketsvip.com,ifsmarketsvip.com
Uhotcoins.com,Uhotcoins.com
ehotcoin.com,ehotcoin.com
cboechange.com,cboechange.com
hgs.hgshwb168.com,hgshwb168.com
hk.33783.shop,33783.shop
liquidityswap.vip,liquidityswap.vip
m.uvs123.com,uvs123.com
online.evonex-holdings.com,evonex-holdings.com
rycoincrypto.pro,rycoincrypto.pro
web.ruoyi.space,ruoyi.space
sinkeffect.cc,sinkeffect.cc
user.frtcnet.live,frtcnet.live
m.kraemd.com,kraemd.com
klcroerjully.com,klcroerjully.com
leverj-vip.com,leverj-vip.com
texcoin-pro.com,texcoin-pro.com
dldownloadms.com,dldownloadms.com
dappeth.info,dappeth.info
qraie.net,qraie.net
h5.ip0dn243.top,ip0dn243.top
ICmarkets.com,ICmarkets.com
bteth.tools,bteth.tools
e9btc.com,e9btc.com
trader.ansfx.net,ansfx.net
dask99.com,dask99.com
bitvito-otc.com,bitvito-otc.com
defi-ai.info,defi-ai.info
bomwinbit.com,bomwinbit.com
cmegrouo.com,cmegrouo.com
coinbase-usdt.cc,coinbase-usdt.cc
coagesp.vip,coagesp.vip
ethliquidmining8.com,ethliquidmining8.com
sunbit1.com,sunbit1.com
assetcapitallimited.com,assetcapitallimited.com
ethusdt.eht.life,eht.life
lc8.site,lc8.site
crm.ronghuimarket.com,ronghuimarket.com
der-bit.com,der-bit.com
cboeanc.com,cboeanc.com
verse90.com,verse90.com
leverj-eth.com,leverj-eth.com
h5.lglwzyb.top,lglwzyb.top
polygonnodeminning.com,polygonnodeminning.com
bitmartweb.com,bitmartweb.com
safemoretrx.cc,safemoretrx.cc
nxbpro.cn,nxbpro.cn
cb-titan.wine,cb-titan.wine
dydx-eth.com,dydx-eth.com
bitcorebtx26.xyz,bitcorebtx26.xyz
deplve.com,deplve.com
sushi-miningpool.com,sushi-miningpool.com
ammdefi.org,ammdefi.org
bitstamp-btc.com,bitstamp-btc.com
i-creditgo.com,i-creditgo.com
qewoldcoltd.com,qewoldcoltd.com
m.movex.asia,movex.asia
h5.boursorpdf.com,boursorpdf.com
gdaxss.vip,gdaxss.vip
Hekamenltd.com,Hekamenltd.com
savantcps.com,savantcps.com
dydx-vip-defi.com,dydx-vip-defi.com
Hkcoex.com,Hkcoex.com
mdncoin.com,mdncoin.com
cibcmax.today,cibcmax.today
coindel-usdt.com,coindel-usdt.com
matrixportc.net,matrixportc.net
